id,id_usuario,id_curso,metodo_pagamento,descricao
1, 7, 8, boleto, Play parent draw call tree hundred among kitchen. Approach wonder as.\nFour measure already trip when think big. Fast realize appear note. Paper nice become name page pick.
2, 22, 10, cartao, Color evidence say total represent Republican cell. Simple meet western evidence surface. Natural commercial future but day fear professional.
3, 66, 2, pix, Result civil conference ahead. Machine guess home mouth visit quality new. Guess him feel recognize future game quite great.
4, 88, 1, cartao, Particular manager government lawyer. Tv now here provide article dinner.\nOf special serve firm will. Never heavy poor leave lawyer.
5, 60, 7, cartao, Others do lead hold seem new fish history. Size mission throw. Thing family record happen director.
6, 95, 5, boleto, Not big drive. Page tax discussion their especially. Design poor recently career left animal. Around up student area.
7, 61, 8, boleto, Still court structure open stay. Check condition him sense American later. Quickly drop building strong develop reflect name.
8, 20, 5, cartao, You baby month might. To forget total use do structure both. Wide travel great find.\nAudience glass technology large. Bed rather almost mother season. Head argue medical stage team.
9, 12, 5, pix, Within do add rock. When resource business task window fact stand. Necessary his out bad decade.\nOff Democrat least remember wonder modern. Street century radio.
10, 74, 6, boleto, Give up under indeed room degree month. Home less two view best.\nCould through federal so term field. Responsibility task only sort interesting some pattern.
11, 27, 7, boleto, Right before Congress this. Consumer others form represent four message science.
12, 49, 6, boleto, Just both share education artist reduce reason. Miss both purpose business last seat hear language. Method necessary billion pass case usually.\nCourse board successful under. Tv learn house finally.
13, 77, 6, pix, News Congress where will just walk. Lose consumer morning past rise grow.\nKnowledge popular station. Whatever mean site.\nPut find none fire true answer weight game. Field hour hope past.
14, 94, 10, pix, Just expect thank like. Like become result party suddenly.\nEarly black product ten affect. High activity bad. Pull we air customer.
15, 99, 2, cartao, Forward education five morning. Author listen face quickly.\nSeek her outside again over pay walk. Large threat fly gun.
16, 53, 4, pix, Five try tonight claim. Around decision popular rather star. Matter hair political manage dog sometimes.\nCandidate lose son big beat piece woman alone. Require personal after sort.
17, 71, 7, cartao, Window arrive second doctor. Number chance suggest run trade.\nWithout mouth same rather oil. Thing wear owner development participant talk race name.
18, 88, 4, pix, Need keep condition social majority realize personal especially. Town couple heart she almost short wrong represent. Particularly just them personal.
19, 54, 1, boleto, Very see song positive go star. Provide prepare just senior budget anything.\nOwner consider piece manage. Admit drop camera. Question like head arm central.
20, 67, 9, boleto, Other begin leave relate key best certain. Present cold put explain plant country.\nAgainst chance man myself. Across last very all your. Crime man school blue father life.
21, 73, 8, cartao, Black board treat. Relate community plant strong.\nDrop financial home allow economic ground. He source president mention. Likely statement store hit finally step.
22, 87, 4, cartao, Over space perform account. Air employee trouble yes why civil stand.\nAmount as building your according their enjoy. Consumer another force. Century tonight visit morning.
23, 91, 8, pix, Throughout ten but show. Letter subject method start.\nIndeed television camera save white decade dog.\nEducation three democratic note surface radio. Early region wall water build much man.
24, 17, 8, cartao, Kitchen assume some smile wait spring. Task believe wish themselves similar six interview.\nAgree economy need grow. Begin commercial natural bring between better newspaper.
25, 84, 3, pix, Foreign shoulder hand themselves girl particularly identify.\nApproach number method while page two. Any court sense identify. Family morning red oil threat site. Want itself year that election main.
26, 66, 8, cartao, Scientist vote little those coach huge friend. Benefit single knowledge decide least.
27, 16, 10, boleto, Check bank similar. Arrive unit condition financial sit theory weight. Own later focus approach.
28, 44, 1, pix, Southern she fight evidence. Pretty generation fill.\nGas black how charge raise firm success. Environmental night relate herself. Deep relate remember laugh not.
29, 62, 3, pix, Natural teacher officer suggest. Doctor hotel care with goal.\nExpect third water buy Congress line.
30, 78, 4, cartao, Recent memory wide region. After article mention fly.\nTough remain certain follow professor address trade.\nIt throughout control ready sound that finally.
31, 13, 1, pix, Two stay around if despite everything society. Reach rise series. Available defense measure six focus general dinner.
32, 81, 9, cartao, Word dream free couple situation. Soldier until effect better. Attack several some why.
33, 42, 1, cartao, Class question rate. Section tonight together.\nSummer light protect look thus. Speak ready pick decade control.\nTax top tend. Player data record effect situation better. Go traditional many agency.
34, 94, 3, boleto, Book work economic better political impact hand. Today baby for manager.\nThat many hold why occur career left. Over voice something leave manager keep.
35, 17, 2, boleto, Need spend woman it magazine.\nCause admit simple level. Pass site major name sea. Collection tree six character or voice.\nFree by may. Tough exactly show approach there task number.
36, 40, 8, cartao, Rise reach move cultural skill. Strong attorney mean since hit minute.\nRate agreement coach. Radio center thing news next shake. Begin professor boy green.
37, 90, 7, boleto, Manage kind road sing hope body win. Support part throw sound total town.\nThemselves offer option score along.
38, 24, 5, cartao, Imagine treat tend. Since face blood return establish whom style enough.\nProcess interesting clear network air choose. Able east most her raise member. Story out sell career single image performance.
39, 93, 8, pix, Analysis sure choose risk back believe. Early hard win listen high.\nNew travel laugh increase list. Including national together. Admit fine phone oil around.
40, 67, 8, boleto, Another pattern set special. Explain market customer.\nDaughter yes sell really. Scientist cover road book mother.
41, 94, 6, cartao, System increase of. Message administration operation brother. But top receive push realize.\nNow same over red debate. Wait at trial cause ball medical. Instead name very recently.
42, 55, 5, boleto, Board article rise over role bad argue. Natural back station yes others defense.\nPass least able two rest perform again develop. Order step between time relate where relationship.
43, 63, 10, cartao, Sometimes southern exactly. Then court think difficult capital dog.\nPresident it show report court choice system likely. Respond end produce.\nStage those girl myself. Real forget civil already.
44, 83, 1, pix, Bit skin training recognize appear prevent how. Myself building manager hotel challenge whose half. Society property sense. Republican rule challenge.
45, 57, 5, pix, We together today. Trip animal occur get finish happy sea. Red include reveal wide deal local dream save.\nDifferent wall challenge billion spring music game window. Word body someone near.
46, 32, 6, cartao, Condition produce suddenly before budget window purpose unit. Although hot simply maintain. Everything treatment sound total spring others.
47, 100, 9, pix, Shoulder give throw network. Indicate explain agreement soldier thousand. Long your image.
48, 19, 3, pix, Statement entire ok attack. Month Mrs late item.\nAbout paper building. Just upon morning grow worker.\nTrial people voice newspaper. Rich figure four happen consumer. Interview behavior job.
49, 98, 3, cartao, Well look technology month national western. Who political family before activity husband left radio.\nAgreement direction remember. On rock long indeed place until.
50, 83, 3, pix, Reach street term pick prevent production they. Long science each somebody street. Audience program level already everyone.
51, 7564, 2, pix, Capital large wrong whole she. East help along more TV war spring million. My fast against understand. Recognize attention yard will.
52, 6624, 8, pix, Image maintain necessary our rock. Rate policy entire charge mouth.\nStay maintain physical successful animal central play success. Rest play fight others.
53, 4481, 10, cartao, Civil contain full perhaps nature dark reduce. Budget like policy always fall truth.\nRich budget thing value smile prove. Administration enjoy other develop.\nPart culture with. Great data thank.
